IDCliente,Genero,TerceraEdad,Casado,Dependientes,Meses,Telefono,LineasMultiples,Internet,Seguridad,BackUp,Proteccion,Soporte,StreamingTV,Peliculas,TipoContrato,FacturaElectronica,MetodoPago,UltimoCargo,TotalHistorico,Abandono
9894-QMIMJ,0,1,0,0,23,1,0,1,0,1,1,0,0,0,1,0,1,55.8,1327.9,0
8069-YQQAJ,1,1,0,0,14,0,0,1,0,1,0,0,0,0,0,1,4,31.1,419.7,0
6770-XUAGN,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3,21,21,1
4193-ORFCL,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,4,45.1,45.1,1
1636-NTNCO,1,0,0,0,4,0,0,1,0,1,0,0,1,1,0,1,2,51,207.4,0
3466-WAESX,1,1,0,1,16,1,1,1,1,1,0,0,0,1,0,1,3,69.1,1083.7,0
9281-PKKZE,0,1,1,0,46,0,0,1,0,0,0,0,1,1,0,1,3,44,2007.9,0
3638-VBZTA,1,1,0,1,68,1,1,1,1,1,0,1,1,1,2,1,1,86.5,5882.8,0
7459-IMVYU,1,1,0,0,38,1,1,1,1,1,1,1,0,0,0,0,3,70,2657.6,0
7776-QWNFX,1,0,1,0,30,1,0,1,0,1,0,0,0,0,0,1,1,50.4,1527.5,1
6689-TCZHQ,0,0,0,0,5,1,0,2,0,0,0,0,0,1,0,0,3,79,378.4,1
8563-OYMQY,1,1,0,0,17,1,0,2,0,1,1,0,0,1,0,1,2,91,1612.2,0
0754-EEBDC,1,1,1,1,4,1,0,0,0,0,0,0,0,0,2,0,4,19.9,76.7,0
5777-ZPQNC,0,1,0,0,12,1,0,0,0,0,0,0,0,0,1,0,3,20.2,260.7,0
1951-IEYXM,1,1,1,1,72,1,1,1,1,1,1,1,1,1,2,1,2,90.6,6441.9,0
3318-NMQXL,1,1,0,0,3,1,0,2,0,0,0,0,1,1,0,1,3,92,266.8,0
3143-ILDAL,1,1,0,0,56,1,1,2,0,1,0,1,0,1,0,1,3,94.5,5124.6,1
1022-RKXDR,0,1,0,0,41,1,1,0,0,0,0,0,0,0,1,1,4,24.9,962.3,0
2361-FJWNO,1,1,0,0,40,0,0,1,0,1,0,1,0,0,1,0,2,36,1382.9,0
2272-UOINI,0,1,0,0,7,1,0,1,1,1,0,1,1,1,0,1,3,78.5,571.1,0
8232-UTFOZ,1,1,0,0,69,1,0,0,0,0,0,0,0,0,2,0,2,20,1399.4,0
3750-YHRYO,1,1,1,1,7,1,0,0,0,0,0,0,0,0,1,0,4,20.7,150,0
6637-KYRCV,0,1,1,1,5,0,0,1,0,1,0,0,0,0,0,1,3,30.5,167.2,0
5668-MEISB,0,1,1,1,72,1,1,2,1,1,1,1,1,0,2,0,2,106.1,7657.4,0
0129-QMPDR,1,1,1,1,44,1,0,0,0,0,0,0,0,0,1,1,1,20.5,865.1,0
7188-CBBBA,0,1,0,0,65,1,1,2,0,1,1,0,1,0,1,1,3,95.5,6153.9,0
5356-CSVSQ,0,1,0,0,3,1,1,1,0,0,0,1,1,0,0,0,3,64.6,174.2,0
3221-CJMSG,1,1,0,0,24,1,0,1,0,0,0,1,0,0,0,1,2,51.1,1269.6,0
4720-VSTSI,0,1,0,0,44,1,1,2,0,1,1,0,0,0,0,1,1,84.8,3862.6,1
3219-JQRSL,0,0,1,0,72,1,1,1,1,1,1,1,1,1,2,0,2,89.1,6352.4,0
2801-NISEI,1,1,0,0,24,1,0,1,1,0,0,1,0,0,0,0,3,55,1348.5,0
3946-MHCZW,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,4,50.9,50.9,1
4623-ZKHLY,1,1,1,0,22,1,0,0,0,0,0,0,0,0,0,1,1,20.5,471.6,0
6732-VAILE,1,1,1,1,70,1,1,1,0,1,1,1,1,1,2,1,2,86,5931.8,0
8201-AAXCB,1,1,1,1,25,1,1,1,0,0,0,0,1,0,0,0,3,60.4,1404.7,0
7696-CFTAT,1,1,1,1,37,1,0,0,0,0,0,0,0,0,2,0,1,19.8,726.1,0
1845-CSBRZ,0,0,1,1,22,1,1,2,0,0,0,0,1,0,0,0,1,85.4,1961.6,0
2123-VSCOT,0,1,1,1,59,1,1,1,0,0,1,1,1,0,2,1,1,72.1,4194.9,0
6651-AZVTJ,1,1,1,1,49,1,1,2,0,0,1,0,1,1,0,1,3,99.8,4872.5,1
4566-GOLUK,1,1,1,1,47,1,1,2,0,0,1,1,1,1,0,1,1,107.4,5119,1
2484-DGXPZ,0,1,1,1,31,1,0,0,0,0,0,0,0,0,0,1,4,19.6,659,1
2018-QKYGT,1,1,1,1,1,1,0,2,0,0,0,0,0,1,0,1,3,81.1,81.1,0
2792-VPPET,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1,3,20.5,77,0
7409-JURKQ,0,1,1,0,53,1,1,2,0,1,1,1,1,1,1,1,1,111.8,5809.8,0
3247-MHJKM,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,20.2,20.2,0
1964-SVLEA,1,1,0,0,20,1,0,0,0,0,0,0,0,0,1,1,4,19.7,415.9,0
4587-NUKOX,0,1,0,0,3,1,0,2,1,1,0,0,0,0,0,1,3,79.1,246.5,1
7297-DVYGA,0,1,0,0,51,1,0,0,0,0,0,0,0,0,1,1,1,19.9,997,0
2239-CGBUZ,0,1,1,0,51,1,0,1,1,1,0,1,0,0,1,1,1,60.5,3145.2,0
0854-UYHZD,0,1,1,1,13,1,0,0,0,0,0,0,0,0,2,0,4,19.6,265.3,0
7243-LCGGZ,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,20.9,20.9,0
8267-KFGYD,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,4,21.1,21.1,0
4890-VMUAV,1,1,0,0,63,1,1,1,1,1,1,1,0,0,1,0,3,71.5,4576.3,0
9261-WDCAF,1,1,0,0,3,1,0,1,0,0,0,0,0,1,0,0,4,54.7,189.1,0
3764-MNMOI,1,1,0,0,46,1,0,0,0,0,0,0,0,0,2,0,2,19.2,908.2,0
7442-YGZFK,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,2,49.8,49.8,0
0420-BWTPW,1,1,0,1,8,0,0,1,0,0,0,0,0,0,0,0,4,25.5,215.2,1
8229-BUJHX,0,1,1,1,71,1,0,0,0,0,0,0,0,0,2,0,1,20.5,1501,0
7449-HVPIV,1,1,1,1,55,1,1,2,0,0,1,0,1,0,0,1,2,90.4,5099.2,0
5504-WSIUR,0,1,0,0,70,1,1,2,0,1,1,1,0,0,1,1,1,90.3,6386,0
8183-ONMXC,0,1,0,0,2,1,0,2,0,0,0,0,0,1,0,0,3,80.8,159.5,1
8466-PZBLH,1,1,1,1,67,1,1,2,1,0,0,1,1,1,2,0,1,104.6,6885.8,0
9614-RMGHA,1,1,1,0,65,1,1,2,0,1,0,0,1,0,0,1,1,91.9,5940.9,1
8735-IJJEG,1,1,1,0,14,1,0,1,0,0,1,0,0,0,0,0,2,50.2,668.9,0
0564-MUUQK,0,1,1,1,20,1,1,2,0,0,1,1,0,1,0,1,1,95.5,1916.2,0
5054-IEXZT,1,1,0,1,1,1,0,2,0,1,0,0,0,0,0,1,3,75.4,75.4,1
5834-ASPWA,1,1,0,0,1,1,1,2,0,0,0,0,0,0,0,1,3,75.5,75.5,1
0701-RFGFI,0,1,1,1,49,1,1,2,0,0,0,0,1,1,0,1,1,95.4,4614,0
0019-EFAEP,0,1,0,0,72,1,1,2,1,1,1,0,1,0,2,1,1,101.3,7261.3,0
5619-PTMIK,0,1,1,0,46,1,1,1,1,0,0,0,0,0,0,0,3,53.1,2459.8,0
3737-XBQDD,1,1,0,0,24,1,1,2,0,1,1,0,0,0,0,1,1,84.9,2048.8,0
5882-CMAZQ,0,1,1,1,5,0,0,1,0,1,0,1,0,0,0,0,3,34.3,163.6,0
5846-QFDFI,0,1,1,1,33,1,1,2,0,1,1,1,0,0,0,0,2,88.6,2888.7,0
4445-KWOKW,0,1,0,0,42,1,1,1,1,1,0,0,0,0,1,1,1,60.2,2421.6,0
3511-APPBJ,1,1,0,0,23,1,0,2,1,0,1,0,1,1,1,1,2,100,2292.8,0
7967-HYCDE,1,1,0,0,8,1,0,2,0,0,0,0,0,0,0,0,1,70.7,553.4,0
2430-RRYUW,1,1,0,0,66,1,0,1,1,1,0,0,0,0,1,1,4,54.8,3465.7,0
3948-XHGNA,1,1,0,0,24,1,0,1,1,0,0,0,0,0,0,1,1,49.6,1210.4,1
3723-BFBGR,1,0,0,0,24,1,1,1,0,1,0,0,0,0,0,0,2,54.8,1291.3,0
0565-IYCGT,1,1,0,0,69,1,1,1,1,1,1,1,0,1,1,1,2,78.6,5356.5,1
5447-WZAFP,0,1,0,0,53,1,0,2,0,1,1,0,1,1,1,1,4,100.3,5200.8,0
5110-CHOPY,0,1,0,0,60,0,0,1,1,0,1,0,1,1,2,0,3,53.6,3237.1,0
5445-UTODQ,0,1,1,0,7,1,0,2,0,0,0,0,1,0,0,1,3,81.1,576.7,1
4425-OWHWB,0,1,0,0,20,1,0,0,0,0,0,0,0,0,1,1,2,19.4,433.8,0
7892-QVYKW,0,1,1,1,23,1,1,2,0,0,0,0,0,1,0,0,3,85.6,1868.4,0
9675-ICXCT,1,1,1,1,72,1,0,1,1,0,1,1,1,1,2,1,3,80.8,5728.6,0
1024-VRZHF,1,1,1,0,11,1,1,2,0,0,0,0,0,0,0,1,3,75,825.7,1
4703-MQYKT,1,1,0,0,21,1,0,0,0,0,0,0,0,0,2,0,4,19.6,390.4,0
9497-QCMMS,1,0,0,0,1,1,1,2,0,0,0,0,1,1,0,1,3,93.6,93.6,1
5692-ICXLW,1,0,0,0,31,1,1,2,0,1,0,0,1,0,0,1,3,90.7,2845.2,0
0602-DDUML,0,1,0,0,57,1,0,1,0,1,1,1,1,0,2,0,4,69.8,3894.4,0
2208-MPXIO,0,1,1,1,45,1,0,0,0,0,0,0,0,0,2,1,1,20,886.4,0
1960-UYCNN,1,1,0,0,10,1,1,2,0,1,1,0,0,1,0,1,3,95.3,1021.6,0
0348-SDKOL,0,1,1,0,58,1,1,2,0,0,1,1,1,1,0,1,2,102.1,5885.4,1
3190-FZATL,1,1,0,1,14,1,0,0,0,0,0,0,0,0,0,0,4,20,268.4,0
7336-RLLRH,1,1,1,0,27,1,1,1,1,0,0,1,1,1,1,0,4,80.9,2204.4,0
4373-MAVJG,0,1,1,1,14,1,1,2,0,1,0,0,0,1,0,1,1,90.9,1259,1
8901-HJXTF,0,1,1,1,12,0,0,1,0,1,0,0,0,0,0,0,4,29.2,309.1,1
7710-JSYOA,0,1,1,1,69,1,1,2,0,1,0,1,0,1,2,1,1,93.3,6398.1,0
5419-KLXBN,0,1,1,1,25,1,0,2,0,1,1,0,1,0,0,1,1,89.2,2257.8,1
3424-NMNBO,1,0,1,0,58,1,1,2,1,1,1,0,1,1,1,1,3,108.9,6287.3,1
9885-MFVSU,0,1,1,1,35,0,0,1,1,0,0,1,1,0,2,1,2,46.4,1662.1,0
4514-GFCFI,0,0,0,0,16,1,1,2,0,0,0,0,1,0,0,1,3,84.8,1350.2,1
0607-MVMGC,1,1,1,1,45,1,1,1,0,1,1,0,1,1,1,0,2,78.8,3600.7,0
3365-SAIGS,0,1,0,0,17,1,0,2,0,1,0,0,1,0,0,1,3,83.6,1329.2,0
9828-AOQLM,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,45.7,45.7,1
8022-BECSI,1,1,0,0,22,1,0,0,0,0,0,0,0,0,1,0,4,19.6,422.5,0
8000-REIQB,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,3,70,70,1
9993-LHIEB,1,1,1,1,67,1,0,1,1,0,1,1,0,1,2,0,4,67.9,4627.7,0
0266-CLZKZ,0,1,1,1,67,1,1,2,0,0,1,1,1,1,2,1,1,105.7,6717.9,0
7615-ESMYF,0,1,1,0,2,0,0,1,0,0,0,0,1,1,0,0,3,44.6,97.1,1
3858-VOBET,1,1,0,0,23,1,1,2,0,0,0,0,0,0,0,1,3,75,1710.5,1
7020-OZKXZ,0,0,0,0,9,1,0,2,0,0,1,0,0,0,0,0,2,75.5,637.4,0
3977-QCRSL,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,4,20.2,118,0
0017-DINOC,1,1,0,0,54,0,0,1,1,0,0,1,1,0,2,0,2,45.2,2460.6,0
1447-PJGGA,0,1,0,0,57,1,0,2,0,0,1,0,1,1,2,1,3,95.3,5464.7,1
8565-CLBZW,1,1,0,0,24,1,1,2,0,0,1,0,1,0,0,1,4,89.9,2165.1,1
9139-WQQDY,0,1,1,1,49,1,1,2,0,1,0,0,1,1,1,0,4,100.5,4941.8,1
0224-HJAPT,1,1,0,0,5,1,1,1,0,0,0,0,0,0,0,0,3,47.2,223.2,1
8086-OVPWV,1,1,0,0,2,1,0,2,0,0,0,0,0,1,0,1,3,80.2,181.1,1
9430-FRQOC,0,1,0,1,4,1,1,2,0,0,1,1,0,0,0,1,4,87.1,341.5,1
7639-OPLNG,1,1,1,1,70,1,1,1,1,1,1,1,1,0,2,1,1,79.3,5731.9,0
3074-GQWYX,1,1,0,0,5,1,1,2,0,0,0,0,0,0,0,1,1,75.9,357.8,1
1492-QGCLU,1,1,1,1,53,1,1,1,1,0,1,1,1,1,0,0,3,85.7,4616.1,0
6845-RGTYS,0,1,1,0,47,1,1,2,1,1,1,0,1,0,0,1,3,98.8,4533.7,1
7328-OWMOM,0,1,0,1,31,1,0,0,0,0,0,0,0,0,1,0,2,20.1,589.3,0
4418-LZMSV,1,1,1,1,13,1,0,1,0,1,1,1,0,0,0,0,1,61.8,750.1,0
5155-AZQPB,0,1,1,1,28,1,1,1,0,0,0,0,0,0,0,0,4,49.9,1410.3,0
8861-HGGKB,0,1,0,0,10,1,1,2,0,0,0,0,0,1,0,0,3,86.5,830.9,1
1087-GRUYI,1,1,1,0,38,1,0,0,0,0,0,0,0,0,2,0,1,20.4,743.5,0
7065-YUNRY,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,4,45.3,45.3,1
7694-VLBWQ,1,1,1,0,67,1,1,2,0,1,1,0,1,1,1,0,3,104.1,7040.9,1
2546-KZAAT,1,1,1,0,52,1,0,1,1,1,0,0,1,1,1,1,4,75.4,3865.5,0
0181-RITDD,1,1,1,1,62,1,0,2,1,1,1,1,1,1,2,0,4,108.2,6825.7,0
5989-PGKJB,0,1,0,0,16,1,0,2,0,1,0,0,0,1,0,1,3,86.3,1340.1,0
4795-KTRTH,0,0,1,0,5,1,1,2,0,1,0,0,0,0,0,1,3,81,371.7,1
8272-ONJLV,1,1,0,0,12,1,0,2,0,0,1,0,1,1,1,0,3,95.7,1184,0
1488-PBLJN,0,1,1,1,72,1,1,2,1,1,1,1,1,1,2,1,1,116.9,8477.7,0
0308-GIQJT,1,0,0,0,71,1,1,2,0,1,0,1,1,1,1,0,1,105.8,7382.9,0
3778-FOAQW,0,1,1,0,24,1,0,0,0,0,0,0,0,0,1,0,4,20.2,456.9,0
4452-ROHMO,0,1,0,0,15,1,0,0,0,0,0,0,0,0,2,0,4,19.6,331.6,0
6481-OGDOO,1,1,1,0,67,1,0,2,1,1,0,0,0,1,1,1,2,90.6,6056.2,1
3090-LETTY,1,1,0,1,2,1,1,1,1,1,0,0,0,0,0,0,1,61,134.6,0
5349-AZPEW,0,1,1,1,5,0,0,1,0,0,0,0,0,0,0,0,4,25.1,125.5,0
3753-TSEMP,0,1,1,0,15,1,0,2,0,0,0,0,1,1,0,0,3,88.2,1390.6,1
8305-VHZBZ,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,20.2,20.2,1
9720-JJJOR,1,1,1,1,41,1,0,1,1,1,1,0,0,0,1,1,1,60.3,2511.3,0
8100-HZZLJ,0,1,0,1,43,1,0,1,1,1,0,0,0,1,0,1,3,64,2737.1,0
8775-ERLNB,1,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,3,74.3,74.3,0
8309-IEYJD,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,4,70.6,70.6,0
9172-JITSM,0,1,1,1,26,1,0,2,0,0,0,0,1,1,0,1,3,90.8,2361.8,1
6298-QDFNH,1,1,0,0,22,1,1,2,0,1,0,0,0,0,0,1,3,79.4,1730.4,1
7398-HPYZQ,1,1,1,0,71,1,1,1,1,1,1,1,1,1,2,0,1,90.6,6404,0
3546-GHEAE,1,1,0,0,7,1,0,0,0,0,0,0,0,0,2,0,4,19.5,165.4,0
7361-YPXFS,0,0,0,0,28,1,1,1,0,1,1,1,0,0,0,0,1,64.5,1867.6,0
6557-BZXLQ,1,0,0,0,16,1,0,2,0,0,0,0,0,0,0,0,3,69.7,1043.3,0
2550-QHZGP,1,1,0,0,7,1,0,0,0,0,0,0,0,0,1,0,4,19.5,128.6,0
7519-JTWQH,0,1,0,0,69,1,1,2,0,1,1,1,1,1,2,1,1,110.5,7455.5,0
2538-OIMXF,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,4,24.7,24.7,0
8543-MSDMF,1,1,0,0,3,1,0,1,1,0,1,0,1,1,0,1,3,77.4,206.2,0
9961-JBNMK,1,0,0,0,21,1,0,2,0,0,1,0,1,1,0,1,1,96.8,2030.3,1
1170-SASML,0,1,1,0,69,1,1,2,0,1,1,0,0,0,0,1,1,85.4,5869.4,0
4872-JCVCA,0,1,1,0,71,0,0,1,1,1,1,1,0,0,2,1,1,47.6,3377.8,0
5346-BZCHP,0,1,1,1,69,1,0,0,0,0,0,0,0,0,2,0,4,19.4,1346.2,0
2038-LLMLM,0,1,0,0,48,1,1,2,0,0,1,1,1,1,0,1,3,103.9,4946.1,0
6173-ITPWD,1,1,1,0,47,1,1,2,0,1,1,0,0,0,0,1,1,83.4,4065,1
9734-UYXQI,0,1,0,0,2,1,1,1,0,0,0,0,0,0,0,1,3,49.4,106.6,1
1216-BGTSP,1,1,0,0,45,1,1,2,1,0,1,1,1,1,0,1,2,108.5,4964.7,0
4138-NAXED,1,1,0,0,51,1,1,2,0,1,0,0,0,0,0,0,1,81,4085.8,0
2189-UXTKY,0,1,1,0,22,1,1,1,1,0,0,1,1,1,0,1,3,79.2,1742.8,1
0744-BIKKF,1,1,0,0,72,1,1,1,1,1,1,1,1,1,2,0,1,86.7,6224.8,0
7483-IQWIB,1,1,1,1,37,1,1,2,0,1,1,0,1,0,0,1,3,93,3415.3,0
5248-KWLAR,1,1,1,1,71,1,1,1,1,1,1,1,1,1,2,0,3,90.4,6325.3,0
4958-GZWIY,1,1,1,1,7,1,0,1,0,0,1,0,0,0,0,0,3,48.7,340.3,1
7996-MHXLW,0,1,0,0,66,1,1,0,0,0,0,0,0,0,2,1,2,25.2,1683.6,0
7833-PKIHD,1,1,1,1,51,1,0,1,1,0,0,1,1,1,1,1,1,76.4,3966.3,0
7061-OVMIM,0,1,1,1,30,1,0,0,0,0,0,0,0,0,1,0,1,19.6,608.5,0
5153-RTHKF,0,1,0,0,34,1,1,2,0,0,0,0,1,0,0,0,3,85.4,2896.6,0
1852-QSWCD,1,1,1,1,64,1,1,0,0,0,0,0,0,0,2,1,4,24.8,1514.9,0
4832-VRBMR,1,0,1,0,65,1,1,2,0,1,1,0,1,1,1,1,1,103.2,6792.5,0
9079-LWTFD,1,1,0,0,47,1,1,2,1,1,0,1,1,0,0,0,4,100.8,4669.2,0
6356-ELRKD,0,1,0,0,1,1,0,2,1,0,0,0,1,1,0,1,3,95.6,95.6,1
8624-GIOUT,0,1,0,0,49,1,1,1,1,1,0,0,0,0,0,1,2,59.8,2934.3,1
3392-EHMNK,0,1,1,1,67,1,1,2,0,1,0,1,1,0,2,0,2,94.1,6302.8,0
5986-WWXDV,1,1,0,1,39,1,0,0,0,0,0,0,0,0,1,0,1,19.4,779.2,0
3061-BCKYI,1,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,4,19.9,283.8,0
6179-GJPSO,0,0,0,0,43,1,0,2,1,1,0,1,1,1,0,1,2,108.2,4600.7,1
7901-TBKJX,1,0,0,0,56,1,1,2,0,0,1,0,1,1,0,1,3,101.1,5594,0
7228-PAQPD,0,1,0,0,14,1,0,1,0,0,0,1,0,1,1,0,2,59.1,772.9,0
3177-LASXD,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,3,71.4,71.4,1
7746-QYVCO,1,1,1,1,16,1,0,1,1,1,0,0,0,0,1,1,4,55.9,857.8,0
5804-HYIEZ,1,1,1,1,70,1,1,2,1,1,0,0,1,1,0,1,3,106.1,7554.1,0
9919-FZDED,1,0,1,0,72,1,1,1,1,1,1,0,1,1,2,1,2,84.1,5981.7,0
5934-TSSAU,0,1,1,1,23,1,0,2,0,0,1,0,0,0,0,1,2,75.3,1702.9,0
3486-KHMLI,1,1,0,1,21,1,1,0,0,0,0,0,0,0,0,0,4,24.7,467.2,0
4897-QSUYC,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,20.2,20.2,1
1084-UQCHV,1,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,1,69.8,69.8,1
8290-YWKHZ,0,0,1,0,32,1,1,2,0,0,0,0,1,1,0,1,3,93.2,2931,1
2955-BJZHG,1,1,1,1,17,1,0,2,0,0,0,0,1,0,0,0,3,80.9,1400.9,1
3806-DXQOM,0,1,0,0,4,0,0,1,1,1,0,0,0,0,0,1,3,33.7,137.9,1
6784-XYJAE,0,1,0,0,36,1,1,1,0,0,1,0,0,0,1,0,3,55.8,1941.5,0
3933-DQPWX,0,1,0,0,50,0,0,1,0,1,1,1,0,0,2,0,2,39.7,1932.8,0
6661-EIPZC,0,1,1,1,48,0,0,1,0,0,0,1,0,0,0,1,2,29.5,1423.1,0
8957-THMOA,0,1,0,1,50,1,0,0,0,0,0,0,0,0,2,0,2,20.2,970.9,0
2251-PYLPB,1,1,1,0,72,1,1,1,1,1,1,1,0,1,2,0,2,79.6,5810.9,0
5555-RNPGT,1,1,0,1,10,1,1,0,0,0,0,0,0,0,0,0,2,24.8,223.9,0
1057-FOGLZ,0,1,0,0,18,1,0,0,0,0,0,0,0,0,0,0,4,19.7,391.7,0
9300-RENDD,1,1,0,0,1,1,0,2,0,0,0,0,1,0,0,1,3,80,80,1
0761-AETCS,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,19.3,19.3,1
8087-LGYHQ,1,1,0,0,9,1,0,2,0,0,1,0,1,1,0,1,3,94.1,811.7,0
4137-BTIKL,1,1,0,0,2,1,1,2,1,0,0,0,0,1,0,0,4,90.8,174.8,0
2190-BCXEC,0,1,1,0,40,1,1,2,0,0,0,1,0,0,0,1,2,78.9,3126.9,0
6227-FBDXH,1,1,1,0,69,1,1,2,0,0,1,0,1,1,1,0,1,99.5,6841.5,0
2153-MREFK,0,1,1,0,37,1,1,2,1,0,1,1,0,1,1,1,3,99.2,3754.6,1
2911-WDXMV,1,1,0,1,18,1,1,2,0,0,1,0,0,0,0,1,2,80.6,1406.7,0
7206-PQBBZ,1,0,1,0,11,1,0,2,0,0,0,0,0,0,0,1,3,70.2,834.7,0
3106-ULWFW,0,1,1,0,8,1,1,2,0,0,0,0,0,1,0,1,2,85.2,627.4,1
0925-VYDLG,0,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,3,75.3,242,1
4547-FZJWE,1,1,1,1,55,1,0,1,1,0,0,0,0,1,1,0,2,59.5,3157,0
7422-WNBTY,1,1,1,0,33,1,1,2,0,1,1,0,0,1,0,1,3,93.4,3092,0
0842-IWYCP,0,1,0,0,46,1,0,1,0,0,0,0,0,0,0,0,1,45,2168.9,0
3521-HTQTV,1,1,0,0,34,1,1,0,0,0,0,0,0,0,2,0,1,26.1,980.4,0
3744-ZBHON,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,20.2,66,0
3373-DIUUN,1,1,1,1,30,1,0,0,0,0,0,0,0,0,2,0,4,21.3,711.9,0
8383-SGHJU,0,1,0,0,33,1,1,1,1,0,0,1,0,0,1,0,3,59.4,1952.8,0
7607-QKKTJ,1,1,1,1,45,1,1,2,0,1,1,0,0,1,1,1,2,95,4368.9,0
7707-PYBBH,1,1,0,0,40,1,0,1,1,1,0,1,0,0,0,1,4,61.9,2647.1,0
8984-HPEMB,0,1,0,0,71,1,1,2,1,1,1,1,1,1,2,1,3,118.7,8477.6,0
4349-GFQHK,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,3,54.4,54.4,1
4139-DETXS,0,1,1,1,72,0,0,1,1,1,1,1,1,1,2,0,1,64.5,4528,0
9779-DPNEJ,0,1,1,1,22,1,0,2,0,0,0,0,0,1,0,1,3,80.2,1790.7,0
9805-FILKB,1,1,1,1,46,1,0,0,0,0,0,0,0,0,1,1,1,20.2,845.6,0
5793-YOLJN,0,1,1,1,55,1,0,0,0,0,0,0,0,0,2,0,4,21,1210.3,0
0673-IGUQO,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,20.5,20.5,0
4123-FCVCB,0,1,0,0,12,1,1,1,0,0,0,1,1,1,1,1,4,75.9,854.5,0
8819-IMISP,1,1,0,0,31,1,1,2,0,1,0,0,0,0,0,1,3,80.5,2429.1,0
7802-EFKNY,1,1,1,0,5,0,0,1,0,0,0,0,0,0,0,1,3,25,100.4,1
8311-UEUAB,0,1,1,1,67,1,1,1,1,0,0,0,1,1,2,1,3,75.5,5229.5,0
5858-EAFCZ,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,4,44.5,44.5,0
8035-BUYVG,1,1,1,0,40,0,0,1,1,1,1,0,0,0,1,1,3,42.4,1716.5,1
1163-ONYEY,1,1,1,1,41,1,1,1,1,1,1,0,1,0,0,1,2,74.6,3023.6,0
9787-XVQIU,1,1,0,0,1,1,1,2,0,0,0,0,0,0,0,1,3,75.3,75.3,1
8945-MUQUF,1,1,0,0,51,1,1,2,1,1,0,0,1,0,1,1,3,94.8,4837.6,1
5656-MJEFC,1,1,1,1,42,0,0,1,1,0,1,1,1,0,2,0,2,48.2,2032.3,0
6082-OQFBA,1,1,1,1,23,1,0,0,0,0,0,0,0,0,1,0,4,19.7,436.9,0
8051-HJRLT,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,3,70.6,70.6,1
8974-OVACP,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,20.2,20.2,0
4010-YLMVT,0,1,0,0,56,1,1,2,1,1,0,0,1,1,0,1,2,106.6,5894,0
1379-FRVEB,1,1,0,1,15,1,1,2,0,1,0,0,1,0,0,1,3,91,1430.1,0
8612-GXIDD,1,1,1,1,12,1,1,0,0,0,0,0,0,0,2,1,1,25.4,313,0
6288-CHQJB,0,1,1,1,54,1,0,1,1,0,1,1,0,1,2,0,1,70,3871.9,0
8160-HOWOX,0,1,0,0,7,1,0,1,0,0,0,0,1,1,0,1,3,66.9,458.1,0
3023-GFLBR,0,1,1,1,33,1,1,2,0,0,0,0,0,1,0,0,2,86.2,2745.7,1
6648-INWPS,1,1,1,1,16,1,0,0,0,0,0,0,0,0,0,0,3,20.2,341.4,0
4223-BKEOR,0,1,0,1,21,1,0,1,1,0,1,0,0,1,1,0,4,64.9,1336.8,0
4079-VTGLK,1,0,1,0,30,1,1,1,0,0,1,0,1,1,2,0,3,74.9,2181.8,0
1763-WQFUK,1,1,0,0,3,1,0,1,0,0,0,1,0,0,0,1,4,50.5,147.8,0
1391-UBDAR,1,1,0,0,11,1,0,2,0,0,1,0,0,0,0,0,3,72.9,818.5,0
8894-JVDCV,0,1,0,0,62,1,1,2,1,1,1,1,1,1,1,1,2,115.1,7133.5,0
2023-VQFDL,1,1,0,0,18,1,0,0,0,0,0,0,0,0,0,0,3,19,348.8,0
1345-GKDZZ,1,1,0,1,6,1,0,0,0,0,0,0,0,0,0,0,4,19.6,128.6,0
